***
* Name: 		
* Description: 	99 Tallest Buildings - August 2018
* Source: 		The Skyscaper Center,Global Tall Building Database of the 
*		   		Council on Tall Building and Urban Habitat
* URL:			https://www.skyscrapercenter.com/buildings
* Date:			21 August 2018
* Format:		Comma-Separated Values (CSV)
* 
* Columns:		
*				1. Rank (from tallest)
*				2. Status; COM indicates completed. 
*				3. Building Name
*				4. City 
*				5. Country
*				6. Height (m)
*				7. Height (ft)
*				8. Number of Floors
*				9. Year Completed
*				10. Material 
*				11. Use
* 
* Notes: Metadata prepared by S. Bhattarai,22 August 2018
***!
57,COM,Tianjin Modern City Office Tower,Tianjin,China,338,1109,65,2016,composite,office
58,COM,Tianjin World Financial Center,Tianjin,China,336.9,1105,75,2011,composite,office
59,COM,Wilshire Grand Center,Los Angeles,USA,335.3,1100,73,2017,composite,hotel/office
60,COM,DAMAC Heights,Dubai,UAE,335.1,1099,88,2018,concrete,residential
61,COM,Shimao International Plaza,Shanghai,China,333.3,1094,60,2006,concrete,hotel/office/retail
62,COM,Rose Rayhaan by Rotana,Dubai,UAE,333,1093,71,2007,composite,hotel
63,COM,Minsheng Bank Building,Wuhan,China,331,1086,68,2008,steel,office
64,COM,China World Tower,Beijing,China,330,1083,74,2010,composite,hotel/office
65,COM,Yuexiu Fortune Center Tower 1,Wuhan,China,330,1083,69,2017,composite,office
66,COM,Hon Kwok City Center,Shenzhen,China,329.4,1081,80,2017,composite,residential/office
67,COM,3 World Trade Center,New York City,USA,328.9,1079,69,2018,composite,office
68,COM,Zhuhai Tower,Zhuhai,China,328.8,1079,66,2017,composite,hotel/office
69,COM,Keangnam Hanoi Landmark Tower,Hanoi,Vietnam,328.6,1078,72,2012,concrete,hotel/residential/office
70,COM,Longxi International Hotel,Jiangyin,China,328,1076,72,2011,composite,residential/hotel
71,COM,Al Yaqoub Tower,Dubai,UAE,328,1076,69,2013,concrete,hotel/office
72,COM,Wuxi Suning Plaza 1,Wuxi,China,328,1076,67,2014,composite,hotel/serviced apartments/office
73,COM,Baoneng Center,Shenzhen,China,327.3,1074,65,2018,composite,office
74,COM,Salesforce Tower,San Francisco,USA,326.1,1070,61,2018,composite,office
75,COM,The Index,Dubai,UAE,326,1070,80,2010,concrete,residential/office
76,COM,The Landmark,Abu Dhabi,UAE,324,1063,72,2013,concrete,residential/office
77,COM,Deji Plaza,Nanjing,China,324,1063,62,2013,composite,hotel/office
78,COM,Yantai Shimao No. 1 The Harbour,Yantai,China,323,1060,59,2017,composite,residential/hotel/office
